Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
1,0,0,0,0,3,0,55,0,0,Draw
2,2,0,0,0,1,65,0,0,1,Win
3,3,0,0,0,0,83,48,0,1,Win
4,2,0,0,0,0,91,43,0,1,Win
5,0,0,0,0,0,0,82,0,0,Draw
6,0,0,0,0,0,67,42,1,0,Draw
7,1,0,0,0,0,50,0,0,1,Win
8,1,0,0,0,0,58,51,0,1,Win
9,1,0,0,0,0,38,63,0,1,Win
10,0,0,0,0,0,0,45,1,0,Win
11,-1,0,1,0,0,55,47,1,0,Win
12,2,0,0,0,0,56,65,0,1,Win
13,1,0,0,0,3,51,0,0,1,Win
14,1,0,0,1,1,43,67,0,1,Win
15,0,0,1,1,3,42,0,1,0,Win
16,0,0,0,0,3,43,38,0,0,Draw
17,0,0,0,0,3,63,50,0,0,Draw
18,0,0,0,0,3,47,83,1,0,Loss
19,0,0,0,0,3,48,56,1,0,Draw
20,-1,0,0,0,3,45,91,1,0,Win
21,0,1,1,0,4,47,56,1,0,Win
22,1,0,0,1,1,48,0,0,1,Win
23,0,0,1,3,4,65,50,1,0,Loss
24,0,0,0,1,6,0,83,1,0,Loss
25,0,0,0,1,1,0,63,1,0,Win
26,1,0,0,9,3,83,65,0,1,Win
27,-1,0,0,3,4,45,38,1,0,Loss
28,2,0,0,4,3,42,58,0,1,Win
29,0,0,0,1,3,63,91,1,0,Loss
30,1,0,0,1,4,82,55,1,0,Win
31,-1,0,0,4,7,55,42,1,0,Draw
32,2,0,0,7,4,50,82,0,1,Win
33,-1,0,0,1,3,67,45,1,0,Draw
34,0,0,0,4,1,56,0,0,0,Win
35,1,0,0,6,3,91,47,0,1,Win
36,0,0,0,3,4,58,48,0,0,Loss
37,0,0,0,7,3,38,51,0,0,Win
38,0,0,0,1,8,0,42,0,0,Draw
39,1,0,0,3,4,0,43,0,1,Win
40,-2,0,0,2,6,0,0,1,0,Loss
41,0,0,0,9,12,0,83,0,0,Draw
42,1,0,0,4,6,82,58,0,1,Win
43,1,0,0,9,4,91,82,0,1,Win
44,0,0,0,2,4,63,43,0,1,Win
45,0,0,0,3,7,65,48,0,0,Draw
46,0,0,0,5,3,55,58,1,0,Loss
47,-1,0,0,12,2,83,67,1,0,Loss
48,0,0,0,3,10,47,38,1,0,Loss
49,0,0,0,7,4,56,45,0,0,Draw
50,0,0,0,10,3,50,51,0,0,Draw
51,1,0,0,9,3,42,47,0,1,Win
52,0,0,0,8,12,48,91,1,0,Loss
53,0,0,0,4,5,43,55,0,0,Win
54,-1,0,0,5,5,45,63,1,0,Loss
55,1,0,0,4,2,51,0,0,1,Draw
56,1,0,0,2,5,0,45,0,1,Win
57,-1,0,0,13,8,38,56,1,0,Loss
58,0,0,0,6,11,58,50,0,1,Draw
59,0,0,0,7,4,82,65,0,0,Win
60,0,0,0,5,2,67,0,0,0,Win
61,1,0,0,12,7,50,43,0,1,Draw
62,1,0,0,3,8,0,48,0,1,Draw
63,-1,0,0,5,10,55,0,1,0,Loss
64,0,0,0,8,5,63,51,1,0,Draw
65,1,0,0,13,7,83,58,0,1,Win
66,1,0,0,4,13,65,38,0,1,Win
67,1,0,0,11,10,56,82,0,1,Win
68,0,0,0,3,8,47,67,0,1,Loss
69,0,0,0,15,12,91,42,0,1,Draw
70,1,0,0,13,5,38,55,0,1,Win
71,-1,0,0,13,16,0,91,1,0,Loss
72,2,0,0,11,4,67,0,0,1,Win
73,0,0,0,13,7,42,65,0,0,Win
74,-1,0,0,10,11,82,63,1,0,Draw
75,0,0,0,8,5,43,0,0,0,Draw
76,1,0,0,5,13,45,50,0,1,Win
77,0,0,0,14,12,42,48,0,1,Draw
78,0,0,0,9,3,48,47,0,0,Win
79,1,0,0,7,14,58,56,0,1,Loss
80,1,0,0,5,16,51,83,0,1,Loss
81,2,0,1,13,6,50,0,0,1,Win
82,1,0,0,19,11,83,82,0,1,Win
83,0,0,0,12,17,63,56,1,0,Win
84,0,0,0,8,7,45,58,0,0,Win
85,1,0,0,8,5,65,55,0,1,Win
86,-2,0,0,13,14,0,67,1,0,Loss
87,2,0,0,5,9,51,43,0,1,Win
88,0,0,0,3,4,47,0,0,0,Draw
89,0,0,0,19,16,91,38,0,0,Win
90,0,0,0,5,11,0,65,0,0,Draw
91,0,0,0,7,4,58,47,0,0,Draw
92,-1,0,0,17,16,67,50,1,0,Draw
93,-2,0,0,20,22,56,83,1,0,Loss
94,0,0,0,13,8,48,51,1,0,Loss
95,3,0,0,11,15,82,42,0,1,Win
96,1,0,0,16,13,38,0,0,1,Win
97,1,0,0,6,11,0,45,0,1,Win
98,0,0,0,8,6,58,0,1,0,Loss
99,1,0,0,9,11,43,45,0,1,Win
100,1,0,0,5,12,55,63,0,1,Win
101,0,0,0,6,22,0,91,0,1,Loss
102,0,0,0,8,18,55,67,0,0,Win
103,1,0,0,15,12,42,63,0,1,Win
104,0,0,0,12,25,65,91,1,0,Win
105,0,0,0,13,17,48,50,0,0,Win
106,0,0,0,20,11,56,51,1,0,Loss
107,1,0,0,5,12,47,43,0,1,Win
108,1,0,0,14,13,82,0,0,1,Win
109,2,0,0,25,19,83,38,0,1,Win
110,2,0,0,14,8,51,47,0,1,Win
111,0,0,0,12,28,63,83,1,0,Loss
112,1,0,0,18,17,67,82,0,1,Win
113,0,0,0,12,8,43,58,0,0,Draw
114,2,0,0,25,9,91,0,0,1,Win
115,-1,0,0,17,18,50,42,1,0,Loss
116,0,0,0,11,11,45,55,0,0,Win
117,0,0,0,19,16,38,48,1,0,Draw
118,-1,0,0,9,20,0,56,1,0,Draw
119,0,0,0,10,31,0,83,0,1,Loss
120,0,0,0,14,17,45,82,0,0,Draw
121,1,0,0,13,15,0,65,1,0,Win
122,0,0,0,17,21,51,42,0,0,Draw
123,1,0,0,12,15,63,65,0,1,Draw
124,3,0,0,13,17,43,48,0,1,Win
125,-1,0,0,21,9,67,58,1,0,Draw
126,1,0,0,28,11,91,55,0,1,Win
127,0,0,0,17,21,50,56,0,0,Win
128,0,0,0,20,9,38,0,1,0,Win
129,1,0,0,16,8,0,47,0,1,Win
130,1,0,0,11,10,55,0,0,1,Win
131,1,0,0,21,22,56,67,0,1,Win
132,0,0,0,9,10,0,0,1,0,Loss
133,0,0,0,10,23,58,38,0,0,Win
134,1,0,0,16,18,65,51,1,0,Win
135,1,0,0,34,31,83,91,0,1,Draw
136,0,0,0,8,20,47,50,1,0,Draw
137,0,0,0,22,15,42,45,1,0,Draw
138,-1,1,0,17,19,48,0,1,0,Loss
139,0,0,0,18,16,82,43,0,0,Win
140,0,0,0,21,23,82,38,0,0,Draw
141,1,0,0,35,21,83,50,0,1,Win
142,2,0,0,13,20,63,48,0,1,Win
143,-1,0,0,24,23,38,42,1,0,Draw
144,1,0,0,22,24,0,56,0,1,Win
145,-1,0,0,13,9,0,47,1,0,Win
146,-4,0,0,18,22,51,82,1,0,Loss
147,-1,0,0,16,38,45,83,1,0,Loss
148,-2,0,0,23,16,42,43,1,0,Loss
149,1,0,0,17,22,48,67,0,1,Win
150,-1,0,0,24,32,56,91,1,0,Loss
151,2,0,0,22,19,67,65,0,1,Win
152,0,0,0,14,18,55,51,1,0,Loss
153,0,0,0,9,16,47,63,0,0,Win
